,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1975.0,12.0,25.0,1.0,62.0
1,1969.0,5.0,31.0,2.0,67.0
2,1967.0,2.0,33.0,3.0,69.0
3,1965.0,2.0,35.0,4.0,71.0
4,1965.0,0.0,35.0,5.0,71.0
5,1965.0,0.0,35.0,6.0,71.0
6,1965.0,0.0,35.0,7.0,71.0
7,1965.0,0.0,35.0,8.0,71.0
8,1965.0,0.0,35.0,9.0,71.0
9,1965.0,0.0,35.0,10.0,71.0
10,1965.0,0.0,35.0,11.0,71.0
11,1965.0,0.0,35.0,12.0,71.0
12,1965.0,0.0,35.0,13.0,71.0
13,1965.0,0.0,35.0,14.0,71.0
14,1965.0,0.0,35.0,15.0,71.0
15,1965.0,0.0,35.0,16.0,71.0
16,1965.0,0.0,35.0,17.0,71.0
17,1965.0,0.0,35.0,18.0,71.0
18,1965.0,0.0,35.0,19.0,71.0
19,1965.0,0.0,35.0,20.0,71.0
